x,Sine
0,0
0.196349541,0.195090322
0.392699082,0.382683432
0.589048623,0.555570233
0.785398163,0.707106781
0.981747704,0.831469612
1.178097245,0.923879533
1.374446786,0.98078528
1.570796327,1
1.767145868,0.98078528
1.963495408,0.923879533
2.159844949,0.831469612
2.35619449,0.707106781
2.552544031,0.555570233
2.748893572,0.382683432
2.945243113,0.195090322
3.141592654,-7.65664E-16
3.337942194,-0.195090322
3.534291735,-0.382683432
3.730641276,-0.555570233
3.926990817,-0.707106781
4.123340358,-0.831469612
4.319689899,-0.923879533
4.51603944,-0.98078528
4.71238898,-1
4.908738521,-0.98078528
5.105088062,-0.923879533
5.301437603,-0.831469612
5.497787144,-0.707106781
5.694136685,-0.555570233
5.890486225,-0.382683432
6.086835766,-0.195090322
6.283185307,4.19586E-15
